date,agency,recipient,value,savings,link,description_doge
5/8/25,Environmental Protection Agency,North Carolina A&T State University,1340704,216661,https://usaspending.gov/award/ASST_NON_84020101_6800,"RESEARCHERS WILL PERFORM STUDIES TO QUANTIFY DUST LOADING ON CHILDRENS HANDS AND INDOOR HOME SURFACES AND WILL ALSO DELIVER A HOUSEHOLD DUST SURVEY TO FAMILIES FOR ANALYSIS OF KEY VARIABLES INFLUENCING DUST LOADING ON CHILDRENS HANDS AND IN HOMES AND INGESTION RATES. BY COLLECTING CHILDRENS HAND CONTACT AND MOUTHING ACTIVITIES IN HOMES THROUGH VIDEO METHODS, RESEARCHERS WILL EXPAND THE DATABASE OF CHILDRENS MICRO-ACTIVITIES TO INCLUDE KEY ENVIRONMENTS, LOCATIONS, AND SOCIODEMOGRAPHIC GROUPS. FINALLY, RESEARCHERS WILL ENHANCE AN EXISTING MODEL TO CAPTURE ADDITIONAL SOIL/DUST PATHWAYS FOR CHILDRENS DERMAL AND NON-DIETARY INGESTION."
5/8/25,Environmental Protection Agency,The University of North Carolina at Chapel Hill dba Office of Contracts and,1894823,78653,https://usaspending.gov/award/ASST_NON_84021901_6800,"RESEARCHERS WILL USE LONGITUDINAL STUDY DATA AND URINE SAMPLES FROM CHILDREN TO EXAMINE THE IMPACTS OF EARLY LIFE EXPOSURE TO PHTHALATES. THE STUDY WILL EVALUATE EXPOSURES IN RELATION TO NEUROBEHAVIOR DEVELOPMENT WITH ATTENTION TO THE POTENTIAL FOR SEX-SPECIFIC EFFECTS. ADDITIONALLY, THEY WILL EXAMINE HOW PRENATAL TOXICANT EXPOSURES RELATE TO 3RD TRIMESTER FETAL BRAIN IMAGING FEATURES, AND THEIR TRAJECTORIES OF DEVELOPMENT POSTNATALLY USING POSTNATAL IMAGING SCANS."
5/8/25,Environmental Protection Agency,GEORGIA TECH RESEARCH CORP,1000000,476179,https://usaspending.gov/award/ASST_NON_84024601_6800,"THE PROJECT GOALS ARE TO 1) EVALUATE AN INTEGRATED STRATEGY CONTAINING BOTH INTERVENTIONS AND COMMUNICATIONS TO REDUCE WILDLAND FIRE POLLUTION EXPOSUREAND 2) ESTABLISH THAT TARGETED INTERVENTION CAN BE USED TO EFFECTIVELY REDUCE EXPOSURES OF SCHOOL COMMUNITY MEMBERS TO WILDLAND FIRE BURN EMISSIONSAND AND 3) INVESTIGATE HOW WILDLAND FIRE IMPACT FORECASTING CAN BE USED TO REDUCE EXPOSURES, BOTH BY ADJUSTING THE TIMING OF BURN ACTIVITIES AND PROVIDING GUIDANCE TO POTENTIALLY IMPACTED AREAS IN ADVANCE. THE EXPECTED OUTCOMES INCLUDE AN ASSESSMENT OF APPROACHES TO REDUCE EXPOSURES TO AIR POLLUTION FROM WILDLAND FIRES, REDUCE EXPOSURES OF SCHOOLCHILDREN, AND ADVANCE AN OPERATION PRESCRIBED FIRE IMPACT FORECASTING SYSTEM."
5/8/25,Environmental Protection Agency,The University of North Carolina at Chapel Hill dba Office of Contracts and,799833,73805,https://usaspending.gov/award/ASST_NON_84043101_6800,"DESCRIPTION:
THE GOAL OF THE PROPOSED RESEARCH IS TO COMBINE STATE-OF-THE-ART ONLINE HIGH-RESOLUTION CHEMICAL IONIZATION MASS SPECTROMETERS (HR-TOF-CIMS) TOGETHER WITH NOVEL AIR- AND PARTICLE-PHASE SAMPLING TECHNIQUES TO INCREASE UNDERSTANDING OF FUGITIVE EMISSIONS OF PER- AND POLYFLUOROALKYL SUBSTANCES (PFASS) FROM STATIONARY POINT SOURCES. 
ACTIVITIES:
THE PROJECT WILL: 1) DETERMINE HR-TOF-CIMS CALIBRATION CURVES AND DETECTION LIMITS FOR ATMOSPHERICALLY-RELEVANT PFASS; 2) OXIDIZE PFAS STANDARDS WITH HYDROXYL RADICALS (OH) AND OZONE UNDER CONTROLLED LABORATORY SETTINGS TO GENERATE COMMERCIALLY-UNAVAILABLE PFASS THAT ARE ALSO KEY TO UNDERSTANDING PFASS' ATMOSPHERIC TRANSFORMATIONS AND FATES; AND 3) DEPLOY A MOBILE LABORATORY WITH THESE NEWLY DEVELOPED AND LABORATORY-VALIDATED CIMS METHODS AT A STATIONARY POINT SOURCE TO STUDY FUGITIVE PFAS EMISSIONS AND PFAS NEAR-SOURCE DOWNWIND CHEMISTRY.
OUTCOMES:
THE ANTICIPATED DELIVERABLES ARE ANNUAL PROGRESS AND FINAL REPORTS. EXPECTED OUTCOMES INCLUDE ADVANCEMENTS IN MEASUREMENT TECHNIQUES TO MEASURE AMBIENT LEVELS OF GAS- AND PARTICLE-PHASE PFASS AND ADVANCEMENTS IN NEAR-SOURCE MEASUREMENT METHODS FOR ESTIMATING EMISSIONS OF PFASS. THE INTENDED BENEFICIARIES ARE THE SCIENTIFIC COMMUNITY AND COMMUNITIES AFFECTED BY PFAS EXPOSURES.
SUBRECIPIENT:
SUBAWARDEE TEXAS A&AMP;M UNIVERSITY WILL CONDUCT AND LEAD THE LABORATORY EXPERIMENTS USING THE HIGH RESOLUTION CHEMICAL IONIZATION MASS SPECTROMETERS TO DETERMINE CALIBRATION FACTORS AND DETECTION LIMITS AND TO DETERMINE WHETHER LEGACY OR EMERGING PFASS CAN BE OXIDIZED BY ATMOSPHERIC HYDROXYL RADICALS. IN ADDITION, THEY WILL DEPLOY A MOBILE LABORATORY TO COLLECT AMBIENT DATA FOR THE FIELD STUDY NEAR THE CHEMOURS FACILITY."
5/8/25,Environmental Protection Agency,University of Wisconsin - Madison,998049,567356,https://usaspending.gov/award/ASST_NON_84062401_6800,"DESCRIPTION:THE PURPOSE OF THIS PROJECT IS TO DEMONSTRATE AND STANDARDIZE EXISTING INVERSE MODELING AND SPATIAL MAPPING METHODS FOR IDENTIFYING HOTSPOTS OF METHANE AND OTHER HEALTH IMPACTING GASES RELEASED FROM LANDFILLS AND TO MONITOR AND QUANTIFY THESE EMISSIONS.ACTIVITIES:THE SPECIFIC OBJECTIVES ARE: 1) DEPLOY HIGH-SENSITIVITY LASER-BASED SENSORS TO MEASURE METHANE AT STRATEGIC LOCATIONS FOR TWO FULL YEARS AT DOWNWIND LOCATIONS OF FOUR LANDFILLS IN THE UNITED STATES; 2) DEPLOY SENSORS TO MEASURE LANDFILL GAS RELEASES THAT IMPACT LOCAL AIR QUALITY, INCLUDING AMMONIA, HYDROGEN SULFIDE AND ODORS, FOR TWO FULL YEARS AT THE SAME SITES AS THE METHANE SENSORS; 3) COLLECT COMPLEMENTARY DATA ON CARBON DIOXIDE, AMMONIA, AND HYDROGEN SULFIDE WITH THE LASER-BASED METHANE SENSOR TO DEMONSTRATE THE APPLICATION OF THE METHODS TO OTHER LANDFILL GASES; 4) USE PARALLEL DRONE-BASED MAPPING METHODS TO MAP METHANE CONCENTRATIONS ABOVE AND AROUND LANDFILLS TO IDENTIFY HOT SPOTS AND IDENTIFY THE LOCATION OF FUGITIVE EMISSIONS; AND 5) APPLY THE MONITORING DATA IN AN INVERSE ATMOSPHERIC TRANSPORT MODEL TO QUANTIFY LANDFILL EMISSIONS AND FOR CALCULATING THE IMPACT FROM ENVIRONMENTAL VARIABLES AND LANDFILL OPERATIONS ON EMISSIONS.SUBRECIPIENT:ST. LOUIS UNIVERSITY ($199,701) WILL COMPLETE THE DRONE MEASUREMENTS AND THE METEOROLOGICAL ANALYSES THAT WILL BE USED IN THE PROJECT.  ST. LOUIS UNIVERSITY WILL ALSO CONDUCT THE INVERSE MODELING ANALYSIS, DATA ANALYSIS, AND THE PREPARATION OF REPORT, PUBLICATIONS AND PRESENTATIONS COVER THE PROJECT RESULTS AND FINDINGS.OUTCOMES:DELIVERABLES INCLUDE ANNUAL AND FINAL RESEARCH REPORTS. THE ANTICIPATED OUTPUTS INCLUDE ADVANCEMENTS IN METHODS FOR MONITORING LANDFILL GAS EMISSIONS, ADVANCEMENTS IN DRONE-BASED APPROACHES FOR IDENTIFYING HOT SPOTS AND PROCESSES THAT LEAD TO HIGH EMISSIONS, AND IDENTIFICATION OF FACTORS THAT AFFECT LANDFILL EMISSIONS AND EFFECTIVENESS OF MITIGATION STRATEGIES TO REDUCE EMISSIONS. DIRECT BENEFICIARIES OF THIS PROGRAM INCLUDE RESIDENTS AFFECTED BY HAZARDOUS AIR POLLUTANTS EMITTED FROM LANDFILLS, THE GENERAL PUBLIC, AND HUMAN HEALTH AND THE ENVIRONMENT."
5/8/25,Environmental Protection Agency,MICHIGAN STATE UNIVERSITY,1600000,1561741,https://usaspending.gov/award/ASST_NON_84095601_6800,"DESCRIPTION:THE GOALS OF THIS PROJECT ARE TO EVALUATE THE FATE, TRANSPORT, AND BIOACCUMULATION OF PER- AND POLYFLUOROALKYL SUBSTANCES (PFAS) IN A CROP-LIVESTOCK FARM THAT UTILIZES BIOSOLID LAND APPLICATION. THE PROJECT ALSO AIMS TO QUANTIFY PFAS PRECURSOR ACCUMULATION WITHIN ON-FARM RESOURCES TO ASSESS FARM MANAGEMENT METHODS TO MITIGATE PFAS CONTAMINATION.ACTIVITIES:THE PROJECT WILL (1) EXAMINE THE RELATIONSHIPS BETWEEN PFAS DISTRIBUTION AND SOIL PROPERTIES, (2) MEASURE AND RANK PFAS ACCUMULATION IN DIFFERENT FIELD CROPS, VEGETABLES, AND LIVESTOCK FORAGES, (3) ELUCIDATE ENVIRONMENTAL FATE, TRANSPORT, AND PLANT UPTAKE OF PFAS AT THE NEXUS OF SOIL, WATER, AND CROPS ON THE PFAS-IMPACTED FARM, (4) MEASURE PFAS ACCUMULATION IN LIVESTOCK, AND (5) DEVELOP PROTOCOLS TO SCREEN AND MAP PFAS ACCUMULATION IN AGRICULTURAL SETTINGS.SUBRECIPIENT:NO SUBAWARDS ARE INCLUDED IN THIS ASSISTANCE AGREEMENT.OUTCOMES:DELIVERABLES INCLUDE ANNUAL AND FINAL REPORTS. THE RESULTS OF THIS PROJECT WILL PRODUCE NEW SCIENTIFIC DATA AND IMPROVE THE BASIC KNOWLEDGE ON PFAS AND PRECURSOR FATE, PLANT UPTAKE, BIOACCUMULATION IN LIVESTOCK, CYCLING PROCESS IN TYPICAL MIDWEST CROP-LIVESTOCK FARMS. THE EXPECTED OUTCOME IS TO IMPROVE THE KNOWLEDGE OF THE PFAS LIFE CYCLE IN A FARM SETTING. DIRECT BENEFICIARIES INCLUDE FARMERS, AGRICULTURAL ADVISORS, HUMAN HEALTH AND THE ENVIRONMENT."
5/8/25,Environmental Protection Agency,The Ohio State University,999995,119525,https://usaspending.gov/award/ASST_NON_84024101_6800,THE GOAL OF THE RESEARCH IS TO DECREASE SMOKE EXPOSURES AND ASSOCIATED HEALTH IMPACTS FROM PRESCRIBED BURN EVENTS. MAIN OUTPUT OF THE RESEARCH IS A RISK COMMUNICATION TOOLKIT THAT CAN BE USED TO 1) FACILITATE COMMUNICATION TO REINFORCE THE SMOKE MANAGEMENT GOAL ASSOCIATED WITH THE CAREFUL PLANNING OF PRESCRIBED BURNSAND AND 2) EFFECTIVELY INFORM THE PUBLIC ABOUT INTERVENTIONS THAT CAN BE TAKEN TO REDUCE SMOKE EXPOSURE DURING PRESCRIBED BURNS.
5/8/25,Environmental Protection Agency,University of Wisconsin - Madison,1362435,842529,https://usaspending.gov/award/ASST_NON_84059901_6800,"DESCRIPTION:THE PURPOSE OF THE PROJECT IS TO DEVELOP A PORTABLE RAMAN AND ELECTROCHEMICAL NANOSYSTEM (I-PRENS) TO BE DEPLOYED FOR ONSITE DETECTION AND DEGRADATION OF NEONICOTINOID PESTICIDES IN RURAL DRINKING WATER SUPPLIES IN ALABAMA'S BLACK BELT REGION.ACTIVITIES:THE PROJECT WILL APPLY THE BEST-AVAILABLE NANOTECHNOLOGY-ENABLED SENSING AND TREATMENT TECHNOLOGIES INTO A FIELD-DEPLOYABLE PROTOTYPE DESIGNED FOR LONG-TERM MONITORING AND CHEMICAL-SUPPLY-FREE REMEDIATION OF NEONICOTINOID-IMPACTED DRINKING WATER SUPPLIES. THE SPECIFIC OBJECTIVES ARE TO (1) DEVELOP A HOT SPOT NORMALIZED SURFACE-ENHANCED RAMAN SPECTROSCOPIC (HSN-SERS) SENSING MODULE FOR REAL-TIME QUANTIFICATION OF NEONICOTINOIDS; (2) DEVELOP A NANOBIOCHAR-ENABLED PRE-TREATMENT MODULE FOR NEONICOTINOID PRE-CONCENTRATION; (3) DEVELOP A SENSOR-CONTROLLED CATALYTIC ADVANCED OXIDATION PROCESS (AOP) MODULE FOR NEONICOTINOID DEGRADATION; AND (4) DEVELOP AND DEPLOY A SMALL-SCALE I-PRENS PROTOTYPE IN RURAL ALABAMA.SUBRECIPIENT:SUBAWARD OF $490,241 TO YALE UNIVERSITY WILL SUPPORT THE DEVELOPMENT OF A SENSOR-CONTROLLED CATALYTIC ADVANCED OXIDATION PROCESS (AOP) MODULE FOR NEONICOTINOID DEGRADATION. SUBAWARD OF $379,206 TO AUBURN UNIVERSITY WILL SUPPORT THE DEVELOPMENT OF A NANOBIOCHAR-ENABLED PRE-TREATMENT MODULE FOR NEONICOTINOID PRE-CONCENTRATION AND THE DEPLOYMENT OF A PROTOTYPE.
OUTCOMES:DELIVERABLES WILL INCLUDE ANNUAL AND FINAL REPORTS DOCUMENTING THE PROGRESS TOWARD DEVELOPING THE TECHNOLOGY AND RESULTS FROM FIELD DEPLOYMENT. DIRECT BENEFICIARIES INCLUDE THE RURAL ALABAMA COMMUNITY, COMMUNITIES THAT DEPEND ON PESTICIDE-IMPACTED DRINKING WATER SUPPLIES, PRIVATE/COMMUNITY WELL OWNERS, RESEARCHERS, AND THE GENERAL PUBLIC."
5/8/25,Environmental Protection Agency,The Little Village Environmental Justice Organization,196034,0,https://usaspending.gov/award/ASST_NON_00E03088_6800,"DESCRIPTION:THE PURPOSE OF THIS AMERICAN RESCUE PLAN COOPERATIVE AGREEMENT IS TO PROVIDE FUNDING UNDER SECTION 103 OF THE CLEAN AIR ACT TO LITTLE VILLAGE EJ ORGANIZATION (LVEJO) TO IMPLEMENT THE 'GROWING THE FIELD' PROJECT, A COLLABORATIVE LEARNING PROCESS BETWEEN TWO GRASSROOTS ENVIRONMENTAL JUSTICE ORGANIZATIONS. ACTIVITIES:ACTIVITIES INCLUDE AIR MONITORING, COLLABORATIVE LEADERSHIP LEARNING, PARTNERSHIPS, AND COMMUNITY CAPACITY BUILDING AMONG THE LOW-INCOME LATINO FAMILIES AND CHILDREN THAT POPULATE BOTH NEIGHBORHOODS.SUBRECIPIENT:CLEANAIRNOW - CLEANAIRNOW WILL CONDUCT MOBILE AIR MONITORING IN CONJUNCTION WITH LVEJO, WILL CONTRIBUTE IN THE CREATION OF THE LEANING TOOLBOX. CLEAN AIR NOW WILL ALSO TRAIN COMMUNITY PROMOTORAS TO BE COMMUNITY RESOURCES FOR ENVIRONMENTAL JUSTICE. 

KANSAS STATE UNIVERSITY WILL SHARE TECHNICAL SKILLS AND HELP INTERPRET DATA RECEIVED FROM AIR SENSORS. 

CHILDREN'S MERCY HOSPITAL WILL SHARE RESOURCES AND TRAINING RELATED TO ENVIRONMENTAL HEALTH FROM EXPOSURE TO PM2.5. OUTCOMES:EXPECTED OUTCOMES ARE EXPANDED LEARNING AND OUTREACH TO RESIDENTS, EMPOWERING YOUTH LEADERS, STRONG COLLABORATION AND PARTNERSHIPS; AND MORE ELECTED OFFICIALS AWARE OF ENVIRONMENTAL JUSTICE ISSUES.  DIRECT BENEFICIARIES ARE THE COMMUNITIES OF LITTLE VILLAGE IN CHICAGO AND ARMOURDALE IN KANSAS."
5/7/25,Environmental Protection Agency,Water Research Foundation,1497907,700941,https://usaspending.gov/award/ASST_NON_84024501_6800,"THE PURPOSE OF THE PROPOSED RESEARCH IS TO PRODUCE A PRIORITIZED LIST OF UNREGULATED ORGANIC CHEMICALS (UOCS) THAT HAVE THE GREATEST POTENTIAL TO POSE ELEVATED RISKS TO HUMAN HEALTH AND THE ENVIRONMENT, AND STANDARD RAPID ASSAYS TO MEASURE MOBILE AND BIOAVAILABLE FRACTIONS OF THESE CHEMICALS IN BIOSOLIDS.  ACTIVITIES INCLUDE PRIORITIZING UOCS IN BIOSOLIDS BASED ON THEIR OCCURRENCE, MOBILITY, PERSISTENCE, AND BIOACCUMULATIONAND DEVELOPING SIMPLE STANDARD ASSAYS TO MEASURE MOBILE AND BIOAVAILABLE FRACTIONS OF PRIORITY UOCS IN BIOSOLIDSAND AND CARRYING OUT FIELD STUDIES AT MULTIPLE LOCATIONS TO EVALUATE PLANT AND EARTHWORM ACCUMULATION, LEACHING AND RUNOFF RISKS OF PRIORITY UOCS UNDER DIFFERENT BIOSOLIDS APPLICATION, SOIL, CLIMATE AND PLANTING CONDITIONS. THE EXPECTED OUTCOME OF THIS RESEARCH IS A DECREASE IN ASSOCIATED PUBLIC HEALTH AND ECOSYSTEM RISKS. DIRECT BENEFICIARIES OF THIS RESEARCH INCLUDE THE SCIENTIFIC COMMUNITY, AGRICULTURE AND WATER SECTORS AND THE BROADER COMMUNITY IN ENSURING THE SAFE REUSE OF BIOSOLIDS THROUGH LAND APPLICATIONS IN THE U.S. UC RIVERSIDE, PURDUE UNIVERSITY AND THE UNIVERSITY OF CINCINNATI ARE INTEGRALLY INVOLVED IN CONDUCTING ALL ASPECTS OF THE RESEARCH IN THE WORK PLAN."
5/7/25,Environmental Protection Agency,Oregon State University,2350211,2064835,https://usaspending.gov/award/ASST_NON_84082601_6800,"DESCRIPTION:THE PURPOSE OF THE PROJECT IS TO QUANTIFY THE FATE OF ANTIBIOTIC-RESISTANT BACTERIA (ARB), GENES (ARGS) AND ANTIBIOTICS IN WASTEWATER TREATMENT UTILITIES ACROSS THE U.S.  40 WASTEWATER TREATMENT FACILITIES REPRESENTING VARIED GEOGRAPHICAL CONDITIONS, POPULATION DEMOGRAPHICS AND WASTEWATER SOURCES WILL BE SAMPLED WITH BOTH CULTURE AND MOLECULAR METHODS AS WELL AS SUSPECT SCREENING TO IDENTIFY ANTIBIOTIC COMPOUNDS.  A META-ANALYSIS USING EXISTING METAGENOMIC DATA IN WASTEWATER IN THE LITERATURE WILL BE CONDUCTED TO UNDERSTAND THE IMPACTS OF SEASONAL/REGIONAL VARIATIONS AND CREATE A COMPREHENSIVE LIBRARY ON THE RESISTOME OF WASTEWATER. ACTIVITIES:40 WASTEWATER TREATMENT UTILITIES FROM 5 REGIONS ACROSS THE U.S. ACCOUNTING FOR VARIED GEOGRAPHICAL CONDITIONS, POPULATION DEMOGRAPHICS AND WASTEWATER SOURCES WILL BE SAMPLED FOR TWO YEARS. SAMPLES WILL BE COLLECTED THROUGHOUT THE WASTEWATER TREATMENT TRAIN TO INCLUDE BIOSOLIDS. BOTH CULTURE AND MOLECULAR METHODS WILL BE USED TO QUANTIFY ARB AND ARGS IN THE SAMPLES AND SUSPECT SCREENING WILL BE USED TO IDENTIFY  ANTIBIOTIC COMPOUNDS IN THE SAMPLES. A SYSTEMATIC REVIEW OF  METAGENOMIC DATA IN THE LITERATURE WILL CREATE A LIBRARY WHICH WILL BE USED TO CONDUCT A  META-ANALYSIS PROVIDING A BETTER UNDERSTANDING OF THE SEASONAL/REGIONAL AND TREATMENT PROCESS EFFECTS ON ARB AND ARG LEVELS IN WASTEWATER. SUBRECIPIENT:NO SUBAWARDS ARE INCLUDED IN THIS ASSISTANCE AGREEMENT.OUTCOMES:KEY DELIVERABLES INCLUDE DATA ON THE ABUNDANCE OF ARB AND ARGS AS WELL AS ANTIBIOTICS IN WASTEWATER SAMPLES TO INCLUDE  SAMPLING INFLUENT, SECONDARY EFFLUENT, TERTIARY EFFLUENT, FINAL EFFLUENT, RAW SLUDGE, AND TREATED BIOSOLIDS. SEPARATE REPORTS ON EACH PROJECT AIM WILL BE DEVELOPED INCLUDING DETAILS ON RESULTS SAMPLING, TESTING AND DATA ANALYSIS. A SYSTEMATIC REVIEW OF THE LITERATURE WILL BE CONDUCTED AND A METAANALYSIS WILL IDENTIFY SEASONAL/REGIONAL, AND TREATMENT PROCESS EFFECTS ON ANTIMICROBIAL RESISTANCE.  TWO WEBINARS WILL BE DEVELOPED TO GUIDE UTILITIES AND REGULATORS ON EFFECTIVE TREATMENT PROCESS AND OPERATIONAL CONDITIONS FOR AMR REMOVAL. WORKSHOPS WILL BE HELD AT REGIONAL AND NATIONAL CONFERENCES TO DISSEMINATE RESULTS AND A PROJECT WEBSITE WILL BE DEVELOPED TO SHARE PROJECT INFORMATION AND DELIVERABLES.  BENEFICIARIES INCLUDE THE PUBLIC, STATE AND LOCAL REGULATORS, WASTEWATER UTILITIES AND WATER QUALITY PROGRAM MANAGERS."
5/7/25,Environmental Protection Agency,TEXAS A&M ENGINEERING EXPERIMENT STATION,1600000,1555041,https://usaspending.gov/award/ASST_NON_84095701_6800,"DESCRIPTION:THE GOALS OF THIS PROJECT ARE TO COMPREHENSIVELY UNDERSTAND PFAS UPTAKE AND BIOACCUMULATION IN PLANTS ACROSS VARIOUS NUTRIENT CONDITION, TO ADVANCE STRATEGIES FOR PFAS REMEDIATION IN BIOSOLIDS/SOIL, MINIMIZE PFAS UPTAKE BY PLANTS, AND DEVELOP REAL-TIME MONITORING TOOLS FOR PFAS IN BIOSOLIDS, BIOSOLIDS-AMENDED SOILS, AND IRRIGATION WATER. ACTIVITIES:TO ACHIEVE ITS GOALS, THIS PROJECT WILL (1) DEVELOP AND ASSESS INTEGRATED PFAS REMEDIATION METHODS TO PREPARE BIOSOLIDS FOR LAND APPLICATION, (2) DEVELOP AND ASSESS TECHNOLOGIES TO PREVENT PFAS UPTAKE BY PLANTS IN BIOSOLIDS-AMENDED SOILS, (3) SCREEN, DESIGN, AND DEVELOP PLANT-BASED BIOSENSORS FOR PFAS DETECTION IN BIOSOLIDS, SOILS, AND WATER, AND (4) DEMONSTRATE THE EFFECTIVENESS OF TECHNOLOGIES IN REMEDIATING PFAS IN BIOSOLIDS, REDUCING PFAS BIOAVAILABILITY IN PLANTS IN BIOSOLIDS-AMENDED SOILS, AND EVALUATING THE SENSITIVITY OF DEVELOPED BIOSENSORS IN MONITORING PFAS CONTAMINATION.SUBRECIPIENT:THE UNIVERSITY OF MICHIGAN ($638,675) WILL LEAD THE WORK ON THE BIOSENSOR DESIGN AND GENERATION AND PFOS PHYTOREMEDIATION OF BIO-SORBENT-AMENDED SOIL AND WASTEWATER.OUTCOMES:THE ANTICIPATED OUTCOME OF THIS PROJECT IS THE EMPOWERMENT OF AGRICULTURAL COMMUNITIES, WASTEWATER PROFESSIONALS, AND STATE AND FEDERAL REGULATORY AGENCIES TO INCREASE THEIR ABILITY TO MANAGE PFAS RISK ASSOCIATED WITH THE BENEFICIAL USES OF BIOSOLIDS AND RECLAIMED WATER. THE PROJECT IS EXPECTED TO DELIVER (1) ANNUAL AND FINAL PROGRESS REPORTS, (2) PEER-REVIEWED PUBLICATIONS, (3) NOVEL STRATEGIES TO REMEDIATE PFAS AND REDUCE PFAS BIOAVAILABILITY, AND (4) SCALABLE BIOSENSORS TO MONITOR PFAS BIOACCUMULATION IN PLANTS ON SITE. THE DIRECT BENEFICIARIES OF THIS PROJECT ARE AGRICULTURAL COMMUNITIES AND WASTEWATER PROFESSIONALS. OTHER BENEFICIARIES INCLUDE STATE AND FEDERAL REGULATORY AGENCIES, THE GENERAL PUBLICS, HUMAN HEALTH, AND THE ENVIRONMENT."
